date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:52	46213/46213	---M-Z	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2005:58:34%20GMT	https://luxuriousproperty.in/index.html	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/index-2.html	(from https://luxuriousproperty.in/css/bootstrap.min.css)
11:57:54	502928/502928	---M--	200	added ('OK')	font/ttf	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/fonts/AbhayaLibre-SemiBold.ttf	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/fonts/AbhayaLibre-SemiBold.ttf	(from https://luxuriousproperty.in/css/style.css)
11:57:55	113736/113736	---M--	200	added ('OK')	font/ttf	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/fonts/NunitoSans_10pt-Medium.ttf	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/fonts/NunitoSans_10pt-Medium.ttf	(from https://luxuriousproperty.in/css/style.css)
11:57:59	113716/113716	---M--	200	added ('OK')	font/ttf	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/fonts/NunitoSans_10pt-Regular.ttf	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/fonts/NunitoSans_10pt-Regular.ttf	(from https://luxuriousproperty.in/css/style.css)
11:57:59	527492/527492	---M--	200	added ('OK')	font/ttf	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/fonts/AbhayaLibre-Medium.ttf	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/fonts/AbhayaLibre-Medium.ttf	(from https://luxuriousproperty.in/css/style.css)
11:58:00	511516/511516	---M--	200	added ('OK')	font/ttf	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/fonts/AbhayaLibre-Bold.ttf	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/fonts/AbhayaLibre-Bold.ttf	(from https://luxuriousproperty.in/css/style.css)
11:58:00	113536/113536	---M--	200	added ('OK')	font/ttf	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/fonts/NunitoSans_10pt-Light.ttf	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/fonts/NunitoSans_10pt-Light.ttf	(from https://luxuriousproperty.in/css/style.css)
11:58:01	538364/538364	---M--	200	added ('OK')	font/ttf	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/fonts/AbhayaLibre-Regular.ttf	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/fonts/AbhayaLibre-Regular.ttf	(from https://luxuriousproperty.in/css/style.css)
11:58:02	132220/132220	---M--	200	added ('OK')	font/ttf	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/fonts/Nunito-Light.ttf	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/fonts/Nunito-Light.ttf	(from https://luxuriousproperty.in/css/style.css)
11:58:02	132204/132204	---M--	200	added ('OK')	font/ttf	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/fonts/Nunito-Regular.ttf	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/fonts/Nunito-Regular.ttf	(from https://luxuriousproperty.in/css/style.css)
11:58:03	65793/65793	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/images/shape.png	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/images/shape.png	(from https://luxuriousproperty.in/css/style.css)
11:58:03	26274/26274	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/images/location-bg.png	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/images/location-bg.png	(from https://luxuriousproperty.in/css/style.css)
11:58:03	132304/132304	---M--	200	added ('OK')	font/ttf	date:Tue,%2010%20Dec%202024%2010:39:08%20GMT	https://luxuriousproperty.in/fonts/Nunito-Medium.ttf	C:/Users/priya/OneDrive/Desktop/Templates/Emaar%20Project/luxuriousproperty.in/fonts/Nunito-Medium.ttf	(from https://luxuriousproperty.in/css/style.css)
